email,senha
0.8136863709464023@mail.com,user123
0.33606475653336554@mail.com,user123
0.12527923178889386@mail.com,user123
0.25873419737328296@mail.com,user123
0.3305510787611376@mail.com,user123
0.31260643947369926@mail.com,user123
0.6826085256493374@mail.com,user123
0.8841872495006999@mail.com,user123
0.015104676668246166@mail.com,user123
0.49589859336963943@mail.com,user123
0.30807721802867155@mail.com,user123
0.245642515427255@mail.com,user123
0.28446185004892105@mail.com,user123     
0.03671151703007426@mail.com,user123        
0.49156808421023895@mail.com,user123
